id,name,assoc_names,original_language,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
2765,A Record of a Mortal’s Journey to Immortality,"['Fan Ren Xiu Xian Chuan', 'Phàm Nhân Tu Tiên', 'RMJI', '凡人修仙传']",chinese,"['wang yu', '忘语']","['action', 'adventure', 'fantasy', 'martial arts', 'mature', 'xianxia']","['adapted to anime', 'adapted to manhua', 'age progression', 'alchemy', 'androgynous characters', 'appearance different from actual age', 'artifacts', 'average-looking protagonist', 'beast companions', 'beautiful female lead', 'body tempering', 'calm protagonist', 'cautious protagonist', 'character growth', 'clever protagonist', 'crafting', 'cultivation', 'dao companion', 'demons', 'dragons', 'eidetic memory', 'eye powers', 'hard-working protagonist', 'heavenly tribulation', 'hiding true abilities', 'immortals', 'loner protagonist', 'long separations', 'lucky protagonist', 'magic formations', 'male protagonist', 'marriage', 'mature protagonist', 'multiple realms', 'multiple reincarnated individuals', 'older love interests', 'phoenixes', 'pill based cultivation', 'pill concocting', 'pragmatic protagonist', 'protagonist with multiple bodies', 'puppeteers', 'romantic subplot', 'ruthless protagonist', 'schemes and conspiracies', 'secretive protagonist', 'slow growth at start', 'soul power', 'souls', 'spirit advisor', 'strength-based social hierarchy', 'sword wielder', 'time skip', 'wars', 'weak to strong']",2008,True,qidian,wuxiaworld,True,2446 chapters,False,c2020,0.4,41,41,70,9667,48,195,4.0,702,"[180, 4745, 31019]",[15],"[24920, 24275, 23691, 23597, 23285]"
38642,After Transmigrating I Made The Antagonist Cry,"['穿书后我把反派弄哭了［娱乐圈］', '穿書後我把反派弄哭了［娛樂圈］']",chinese,['喬木裏'],"['comedy', 'drama', 'romance', 'yaoi']","['acting', 'clingy lover', 'confident protagonist', 'handsome male lead', 'love interest falls in love first', 'possessive characters', 'seme protagonist', 'transmigration', 'transported to another world', 'wealthy characters']",2020,,jjwxc,,True,75 chapters,False,c38 part1,0.9,136,151,3078,1151,142,3636,3.9,35,,[23422],"[24854, 24848, 24613, 24453, 24278]"
33048,Ancient Foodie Survival Guide,"['AFSG', '古代吃货生存指南']",chinese,"['coke ginger soup', 'kělè jiāng tāng', '可乐姜汤']","['comedy', 'josei', 'romance', 'slice of life']","['ancient china', 'ancient times', 'beautiful female lead', 'carefree protagonist', 'comedic undertone', 'cooking', 'couple growth', 'court official', 'female protagonist', 'forced marriage', 'handsome male lead', 'love interest falls in love first', 'mismatched couple', 'slow romance', 'transmigration']",2020,,jjwxc,,True,109 chapters,False,c41,10.9,4031,4744,3154,1046,3398,3840,4.3,44,,[16324],"[23972, 23044, 23004, 21636, 20313]"
28769,"Back to the Sixties: Farm, Get Wealthy & Raise the Cubs",['重回六零：种田发家养崽崽'],chinese,"['nanfanglizhi', 'southern lychee', '南方荔枝']","['historical', 'josei', 'romance', 'slice of life', 'supernatural']","['age progression', 'beautiful female lead', 'business management', 'caring protagonist', 'cheats', 'childcare', 'clingy lover', 'cooking', 'economics', 'family', 'farming', 'fast learner', 'female protagonist', 'magical space', 'management', 'modern knowledge', 'money grubber', 'nationalism', 'poor to rich', 'pragmatic protagonist', 'pregnancy', 'proactive protagonist', 'teachers', 'time skip', 'time travel', 'transmigration']",,,aliwx / alibaba literature,,True,701 chapters,False,c298,0.9,23,15,443,3760,14,1211,4.5,228,,[31046],"[24993, 24850, 24810, 24621, 24421]"
15502,Chronicles of a Creative Different World Reincarnation,"['Living a different world strongly with universal creative skills! (New Title)', '万能すぎる創造スキルで異世界を強かに生きる！(New Title)', '創造の異世界転生記']",japanese,"['hihīrokane', 'ヒヒイロカネ']","['action', 'adventure', 'fantasy', 'harem', 'romance', 'tragedy']","['beast companions', 'beastkin', 'betrayal', 'character growth', 'cheats', 'death of loved ones', 'dungeons', 'elves', 'fantasy world', 'game elements', 'handsome male lead', 'level system', 'male protagonist', 'multiple transported individuals', 'nobles', 'polygamy', 'reincarnation', 'revenge', 'ruthless protagonist', 'skill creation', 's*aves', 'sword and magic', 'wars', 'weak to strong']",2017,False,alpha polis,,False,7,False,v1c1 part4,74.0,958,1551,2524,1791,1851,2679,3.2,72,,[6612],
2989,Da Tang Shuang Long Zhuan,"['Legend of Great Tang’s Twin Dragons', ""The History of the Tang Dynasty's Two Dragons"", '大唐双龙传']",chinese,"['huang yi', '黄易']","['action', 'adventure', 'romance', 'tragedy', 'wuxia']","['adapted to drama', 'adapted to manhua', 'ancient china', 'artifacts', 'assassins', 'clever protagonist', 'comedic undertone', 'cultivation', 'friendship', 'handsome male lead', 'male protagonist', 'military', 'multiple protagonists', 'weak to strong']",1996,False,yunnan people's publishing house,,True,63 volumes,False,v51c7,2.9,4313,4735,2206,2948,6277,1673,4.1,126,,[3729],"[17145, 13955, 11415, 10496, 8005]"
38285,Dandere General and his Lord,"['DGL', '将军总被欺负哭']",chinese,['龚心文'],"['gender bender', 'historical', 'josei', 'romance']","['ancient china', 'boss-subordinate relationship', 'cheats', 'clever protagonist', 'cross-dressing', 'devoted love interests', 'different social status', 'female protagonist', 'generals', 'hard-working protagonist', 'inferiority complex', 'kingdom building', 'leadership', 'loyal subordinates', 'military', 'royalty', 's*aves', 'tomboyish female lead', 'transmigration', 'wars']",2019,,jjwxc,,True,117 chapters,False,c33,1.7,831,872,4640,486,1253,5642,4.3,28,[27467],[20083],"[24985, 23972, 23927, 23600, 23384]"
18263,Dragon Prince Yuan,"['Venerable Yuan', 'Yuan Zun', '元尊', '원존: 용의 비상']",chinese,"['heavenly silkworm potato', 'tian can tu dou', '天蚕土豆']","['action', 'adventure', 'martial arts', 'xuanhuan']","['academy', 'adapted to manhua', 'ancient china', 'aristocracy', 'arrogant characters', 'battle academy', 'beautiful female lead', 'books', 'bookworm', 'caring protagonist', 'charismatic protagonist', 'charming protagonist', 'childhood friends', 'destiny', 'enemies become allies', 'familial love', 'fantasy world', 'handsome male lead', 'male protagonist', 'mature protagonist', 'multiple realms', 'romantic subplot', 'royalty', 'schemes and conspiracies', 'sickly characters', 'strength-based social hierarchy', 'weak to strong']",2017,True,zongheng,wuxiaworld,True,1497 chapters,False,c1051,0.5,60,59,328,2193,58,2249,3.2,95,"[16, 840, 847, 6147]",[14],"[16852, 16590, 16134, 9183, 7396]"
24039,Dungeon Defense (WN),"['Ver. 1', '던전디펜스']",korean,"['yoo heonhwa', '유헌화']","['adult', 'comedy', 'drama', 'fantasy', 'harem', 'psychological', 'romance', 'seinen', 'tragedy']","['calm protagonist', 'confident protagonist', 'cunning protagonist', 'dark', 'death of loved ones', 'demon lord', 'demons', 'dungeon master', 'f*llatio', 'genius protagonist', 'humanoid protagonist', 'male protagonist', 'manipulative characters', 'nobles', 'personality changes', 'r-18', 'ruthless protagonist', 'schemes and conspiracies', 'selfish protagonist', 'strategist', 'transmigration', 'transported into a game world', 'twisted personality', 'underestimated protagonist', 'unreliable narrator', 'weak protagonist', 'yandere']",,False,youngsang publishing media,,True,510 chapters,False,c123,2.5,192,180,1386,2992,233,1647,4.3,133,[6949],[6949],"[23530, 22575, 22535, 21241, 20735]"
37920,Evil Doctor Princess,['邪医狂妃：王爷药别停'],chinese,[],"['comedy', 'drama', 'josei', 'romance']","['ancient china', 'artificial intelligence', 'female protagonist']",,,,,False,,False,c189,1.0,2412,2009,7418,207,4352,7472,2.7,7,,,
15752,Extraordinary Genius,"['Chāo pǐn qícái', '超品奇才']",chinese,"['qióng sì', '穷四']","['harem', 'mature', 'school life', 'seinen', 'slice of life']","['arrogant characters', 'business management', 'businessmen', 'calm protagonist', 'clever protagonist', 'discrimination', 'gangs', 'hard-working protagonist', 'industrialization', 'male protagonist', 'mature protagonist', 'modern day', 'modern knowledge', 'money grubber', 'nationalism', 'politics', 'polygamy', 'poor to rich', 'racism', 'romantic subplot', 'second chance', 'shameless protagonist', 'tragic past']",2015,False,qidian,,True,2090 chapters,False,c1180,0.9,288,228,223,3637,222,1265,3.6,277,,[6001],"[22468, 16993, 16146, 15581, 14447]"
32799,Forcefully Doting On You,['偏要宠爱我'],chinese,['铃鹿'],"['comedy', 'martial arts', 'romance', 'yaoi']","['acting', 'ancient times', 'artists', 'black belly', 'celebrities', 'charismatic protagonist', 'charming protagonist', 'cute protagonist', 'dense protagonist', 'devoted love interests', 'handsome male lead', 'hard-working protagonist', 'love interest falls in love first', 'masochistic characters', 'mob protagonist', 'modern day', 'modern knowledge', 'multiple realms', 'possessive characters', 'showbiz', 'stalkers', 'strong love interests', 'system administrator', 'transmigration', 'transported to another world', 'world hopping']",2019,False,jjwxc,,True,135 chapters,False,c36,7.4,388,632,2231,1997,836,2447,3.9,83,,[15448],"[25207, 24450, 23889, 23743, 22054]"
31655,Fortune Teller Master,['算命大师是学霸'],chinese,"['xinyongka', '信用卡']","['comedy', 'mystery', 'school life', 'slice of life', 'supernatural', 'xianxia']","['beast companions', 'clever protagonist', 'comedic undertone', 'cultivation', 'cute protagonist', 'dense protagonist', 'divination', 'familial love', 'female protagonist', 'feng shui', 'ghosts', 'helpful protagonist', 'late romance', 'lucky protagonist', 'modern day', 'mystery solving', 'poor to rich', 'romantic subplot', 'transmigration']",2018,,,,True,138 chapters,False,c42 part2,1.9,232,191,2120,814,267,4406,4.7,51,,[10881],"[23623, 23384, 23015, 21804, 20739]"
